phase,updates,gameplay_reward_mean,trade_reward_mean,gameplay_entropy_mean,trade_entropy_mean,gameplay_value_loss_mean,trade_value_loss_mean,tom_loss_mean,total_loss_mean,trade_propose_rate_mean,trade_accept_rate_mean,trade_reject_rate_mean,trade_counter_rate_mean,trade_skip_rate_mean
Early,26,0.012676923076923077,-0.007496153846153846,0.7847961538461538,2.625680769230769,0.8696923076923078,0.4150846153846154,1.6094015000000002,-0.10480769230769232,0.20848831502938225,0.06824198796044388,0.08012455522628761,0.6290929779929555,0.014052163790930664
Mid,26,0.015376923076923078,-0.005592307692307692,0.7267961538461539,2.459157692307692,0.5753846153846154,0.43328846153846157,1.6005815384615383,0.22404999999999997,0.2925419412900569,0.03271894982513676,0.2325562864891769,0.4205605921254861,0.02162223027014341
Late,26,0.017011538461538463,0.0015923076923076926,0.696756,1.787732,0.528316,0.43429199999999996,1.5824775200000003,0.21117999999999998,0.45247270991363625,0.005567372185581619,0.4468119957531203,0.05075606288653046,0.04439185926113127
