update,gameplay_rollouts,trade_rollouts,gameplay_reward,gameplay_reward_avg_logged,trade_reward,trade_reward_avg_logged,trade_propose,trade_accept,trade_reject,trade_counter,trade_skip,gameplay_reward_ma10,trade_reward_ma10,trade_propose_rate,trade_accept_rate,trade_reject_rate,trade_counter_rate,trade_skip_rate
151,140,76,0.0341,0.0149,0.0034,0.0,32,24,7,8,5,0.019639999999999998,0.00156,0.42105263157894735,0.3157894736842105,0.09210526315789473,0.10526315789473684,0.06578947368421052
152,127,86,0.0124,0.0154,0.0024,0.0005,28,24,5,13,16,0.02003,0.00165,0.32558139534883723,0.27906976744186046,0.05813953488372093,0.1511627906976744,0.18604651162790697
153,126,87,0.0052,0.0155,0.0032,0.0008,34,25,8,13,7,0.013820000000000002,0.00236,0.39080459770114945,0.28735632183908044,0.09195402298850575,0.14942528735632185,0.08045977011494253
154,126,87,0.0135,0.0157,0.0039,0.001,33,21,12,12,9,0.014169999999999999,0.00326,0.3793103448275862,0.2413793103448276,0.13793103448275862,0.13793103448275862,0.10344827586206896
155,126,89,0.0159,0.0159,0.0049,0.0011,35,25,9,14,6,0.015250000000000003,0.004059999999999999,0.39325842696629215,0.2808988764044944,0.10112359550561797,0.15730337078651685,0.06741573033707865
156,136,84,0.0437,0.0178,0.0034,0.0014,32,20,12,15,5,0.01906,0.00404,0.38095238095238093,0.23809523809523808,0.14285714285714285,0.17857142857142858,0.05952380952380952
157,134,80,0.0098,0.0181,0.0021,0.0017,27,16,11,12,14,0.01932,0.0038599999999999997,0.3375,0.2,0.1375,0.15,0.175
158,127,86,0.0125,0.0175,0.0038,0.0021,31,15,14,12,14,0.019190000000000002,0.0036899999999999997,0.36046511627906974,0.1744186046511628,0.16279069767441862,0.13953488372093023,0.16279069767441862
159,134,80,0.0126,0.0178,0.0015,0.0022,26,15,11,14,14,0.017859999999999997,0.0033299999999999996,0.325,0.1875,0.1375,0.175,0.175
160,135,78,0.0453,0.0194,0.0009,0.0022,21,13,6,18,20,0.020499999999999997,0.00295,0.2692307692307692,0.16666666666666666,0.07692307692307693,0.23076923076923078,0.2564102564102564
161,131,85,0.0154,0.0191,0.0003,0.0021,24,9,14,19,19,0.01863,0.0026399999999999996,0.2823529411764706,0.10588235294117647,0.16470588235294117,0.2235294117647059,0.2235294117647059
162,107,113,0.0057,0.019,0.0009,0.0021,30,12,16,52,3,0.01796,0.00249,0.26548672566371684,0.10619469026548672,0.1415929203539823,0.46017699115044247,0.02654867256637168
163,89,140,0.0191,0.0166,-0.0016,0.0022,27,4,16,91,2,0.01935,0.00201,0.19285714285714287,0.02857142857142857,0.11428571428571428,0.65,0.014285714285714285
164,51,191,0.0207,0.0171,-0.0056,0.0022,14,0,6,170,1,0.02007,0.0010599999999999997,0.07329842931937172,0.0,0.031413612565445025,0.8900523560209425,0.005235602094240838
165,3,252,-0.0033,0.0167,-0.0077,0.0019,2,0,0,250,0,0.018150000000000003,-0.0002000000000000001,0.007936507936507936,0.0,0.0,0.9920634920634921,0.0
166,14,238,0.0556,0.0192,-0.0077,0.0014,4,0,4,230,0,0.01934,-0.00131,0.01680672268907563,0.0,0.01680672268907563,0.9663865546218487,0.0
167,132,84,0.0193,0.0198,0.0012,0.0012,37,0,39,6,2,0.02029,-0.0014000000000000002,0.44047619047619047,0.0,0.4642857142857143,0.07142857142857142,0.023809523809523808
168,128,86,0.0135,0.0198,0.0013,0.001,41,1,42,2,0,0.02039,-0.00165,0.47674418604651164,0.011627906976744186,0.4883720930232558,0.023255813953488372,0.0
169,131,83,0.0321,0.0201,0.0013,0.0008,40,0,38,2,3,0.02234,-0.00167,0.4819277108433735,0.0,0.4578313253012048,0.024096385542168676,0.03614457831325301
170,120,94,0.0072,0.0195,0.001,0.0006,38,1,39,15,1,0.018529999999999998,-0.0016600000000000005,0.40425531914893614,0.010638297872340425,0.4148936170212766,0.1595744680851064,0.010638297872340425
171,132,85,0.0331,0.0195,0.0012,0.0005,36,6,30,10,3,0.020300000000000002,-0.0015700000000000002,0.4235294117647059,0.07058823529411765,0.35294117647058826,0.11764705882352941,0.03529411764705882
172,135,81,0.0354,0.0206,0.0021,0.0005,32,9,23,9,8,0.02327,-0.0014500000000000003,0.3950617283950617,0.1111111111111111,0.2839506172839506,0.1111111111111111,0.09876543209876543
173,136,77,0.0457,0.0226,0.0022,0.0005,27,15,11,8,16,0.025929999999999998,-0.0010700000000000002,0.35064935064935066,0.19480519480519481,0.14285714285714285,0.1038961038961039,0.2077922077922078
174,126,84,0.0099,0.0225,0.0008,0.0003,27,13,15,10,19,0.02485,-0.0004300000000000001,0.32142857142857145,0.15476190476190477,0.17857142857142858,0.11904761904761904,0.2261904761904762
175,131,79,0.013,0.0223,-0.0002,0.0001,22,11,11,13,22,0.026480000000000004,0.0003199999999999999,0.27848101265822783,0.13924050632911392,0.13924050632911392,0.16455696202531644,0.27848101265822783
176,127,87,0.0072,0.0205,0.0032,0.0,33,25,8,9,12,0.02164,0.00141,0.3793103448275862,0.28735632183908044,0.09195402298850575,0.10344827586206896,0.13793103448275862
177,131,84,0.0501,0.0225,0.0033,0.0001,35,27,7,11,4,0.02472,0.00162,0.4166666666666667,0.32142857142857145,0.08333333333333333,0.13095238095238096,0.047619047619047616
178,116,100,0.0164,0.0227,0.0043,0.0001,41,37,2,19,1,0.025009999999999998,0.0019200000000000003,0.41,0.37,0.02,0.19,0.01
179,109,109,0.0154,0.0228,0.0023,0.0002,36,34,2,37,0,0.02334,0.00202,0.3302752293577982,0.3119266055045872,0.01834862385321101,0.3394495412844037,0.0
180,88,135,0.0149,0.0213,0.0003,0.0001,31,18,4,82,0,0.02411,0.00195,0.22962962962962963,0.13333333333333333,0.02962962962962963,0.6074074074074074,0.0
181,50,189,0.0216,0.0216,-0.0048,-0.0001,19,5,5,159,1,0.02296,0.00135,0.10052910052910052,0.026455026455026454,0.026455026455026454,0.8412698412698413,0.005291005291005291
182,43,200,0.0387,0.0233,-0.0066,-0.0005,12,3,10,173,2,0.023289999999999998,0.0004800000000000001,0.06,0.015,0.05,0.865,0.01
183,39,204,0.0244,0.0236,-0.0065,-0.0007,12,5,6,180,1,0.02116,-0.00038999999999999983,0.058823529411764705,0.024509803921568627,0.029411764705882353,0.8823529411764706,0.004901960784313725
184,59,178,0.0189,0.0235,-0.0059,-0.0008,14,5,10,146,3,0.02206,-0.0010599999999999997,0.07865168539325842,0.028089887640449437,0.056179775280898875,0.8202247191011236,0.016853932584269662
185,43,199,-0.0001,0.0236,-0.0063,-0.0007,14,3,8,173,1,0.020749999999999998,-0.00167,0.07035175879396985,0.01507537688442211,0.04020100502512563,0.8693467336683417,0.005025125628140704
186,33,216,0.1334,0.0275,-0.0074,-0.0007,6,2,2,205,1,0.03337,-0.00273,0.027777777777777776,0.009259259259259259,0.009259259259259259,0.9490740740740741,0.004629629629629629
187,40,201,0.0013,0.0266,-0.0064,-0.001,11,6,5,177,2,0.028489999999999998,-0.0036999999999999997,0.05472636815920398,0.029850746268656716,0.024875621890547265,0.8805970149253731,0.009950248756218905
188,112,105,0.0125,0.0266,0.0011,-0.001,31,14,17,35,8,0.028099999999999997,-0.00402,0.29523809523809524,0.13333333333333333,0.1619047619047619,0.3333333333333333,0.0761904761904762
189,124,88,0.0097,0.0254,0.0017,-0.001,27,14,12,19,16,0.02753,-0.004079999999999999,0.3068181818181818,0.1590909090909091,0.13636363636363635,0.2159090909090909,0.18181818181818182
190,121,91,0.0111,0.0256,0.0003,-0.0011,26,12,14,20,19,0.027149999999999997,-0.00408,0.2857142857142857,0.13186813186813187,0.15384615384615385,0.21978021978021978,0.2087912087912088
191,129,83,0.0175,0.0249,0.0015,-0.001,28,12,17,10,16,0.026739999999999996,-0.0034500000000000004,0.3373493975903614,0.14457831325301204,0.20481927710843373,0.12048192771084337,0.1927710843373494
192,130,83,0.0182,0.024,0.0007,-0.0011,24,11,12,16,20,0.024689999999999997,-0.00272,0.2891566265060241,0.13253012048192772,0.14457831325301204,0.1927710843373494,0.24096385542168675
193,132,81,0.0069,0.0221,0.0001,-0.0012,25,10,15,14,17,0.022939999999999995,-0.00206,0.30864197530864196,0.12345679012345678,0.18518518518518517,0.1728395061728395,0.20987654320987653
194,126,86,0.0084,0.022,0.0013,-0.0012,27,13,14,16,16,0.02189,-0.0013399999999999998,0.313953488372093,0.1511627906976744,0.16279069767441862,0.18604651162790697,0.18604651162790697
195,130,86,0.045,0.0236,0.0019,-0.0011,26,12,10,23,15,0.0264,-0.00052,0.3023255813953488,0.13953488372093023,0.11627906976744186,0.26744186046511625,0.1744186046511628
196,125,87,0.0201,0.0242,-0.0002,-0.0013,20,12,8,24,23,0.01507,0.00020000000000000004,0.22988505747126436,0.13793103448275862,0.09195402298850575,0.27586206896551724,0.26436781609195403
197,134,83,0.034,0.0234,0.0011,-0.0014,24,20,5,20,14,0.018340000000000002,0.0009500000000000001,0.2891566265060241,0.24096385542168675,0.060240963855421686,0.24096385542168675,0.1686746987951807
198,121,92,0.0053,0.0229,0.0005,-0.0016,27,21,4,24,16,0.01762,0.0008900000000000002,0.29347826086956524,0.22826086956521738,0.043478260869565216,0.2608695652173913,0.17391304347826086
199,118,102,0.0476,0.0245,0.0001,-0.0017,27,23,3,41,8,0.021410000000000002,0.0007300000000000001,0.2647058823529412,0.22549019607843138,0.029411764705882353,0.4019607843137255,0.0784313725490196
