update,gameplay_rollouts,trade_rollouts,epsilon,replay_size,gameplay_reward,gameplay_reward_avg_logged,trade_reward,trade_reward_avg_logged,trade_propose,trade_accept,trade_reject,trade_counter,trade_skip,dqn_td_loss,dqn_q_mean,dqn_target_q_mean,trade_policy_loss,trade_value_loss,trade_entropy,tom_loss,gameplay_reward_ma10,trade_reward_ma10,dqn_td_loss_ma10,dqn_q_mean_ma10,dqn_target_q_mean_ma10,trade_policy_loss_ma10,trade_value_loss_ma10,trade_entropy_ma10,tom_loss_ma10,epsilon_ma10,trade_propose_rate,trade_accept_rate,trade_reject_rate,trade_counter_rate,trade_skip_rate
15,135,79,0.9635,2015,0.0445,0.0164,0.0068,0.0027,39,39,0,0,1,0.0129,0.0975,0.1096,11396930.25,6.2179,0.0254,5.4637,0.0128,0.00399,0.01958,0.11333000000000001,0.10699999999999998,11230185.5625,2.05124,1.17571,3.13698,0.97446,0.4936708860759494,0.4936708860759494,0.0,0.0,0.012658227848101266
16,126,86,0.9611,2141,0.0106,0.016,0.0083,0.003,42,43,0,0,1,0.0237,0.0674,0.1062,109693716.0,4.8549,0.0223,4.6333,0.013449999999999998,0.00469,0.01874,0.10371999999999999,0.10408999999999999,21819762.0625,2.48728,0.9762099999999998,3.3677800000000007,0.97203,0.4883720930232558,0.5,0.0,0.0,0.011627906976744186
17,127,86,0.9587,2268,0.0128,0.0159,0.0056,0.0032,43,42,0,0,1,0.0207,0.0965,0.0962,99341796.0,3.3602,0.0409,3.6008,0.014360000000000001,0.005039999999999999,0.01895,0.10122,0.10551999999999999,31297157.85,2.77386,0.77565,3.49142,0.9696,0.5,0.4883720930232558,0.0,0.0,0.011627906976744186
18,137,79,0.9562,2405,0.0587,0.0181,0.0049,0.0032,38,39,0,0,2,0.0173,0.072,0.1039,43562978.0,1.842,0.1296,2.8714,0.018209999999999997,0.00531,0.01879,0.09534000000000001,0.10575999999999999,34569819.525,2.90838,0.58551,3.54379,0.96717,0.4810126582278481,0.4936708860759494,0.0,0.0,0.02531645569620253
19,126,85,0.9538,2531,0.0248,0.0185,0.0034,0.0033,39,39,0,2,5,0.0211,0.0987,0.1327,51726478.0,1.2187,0.4017,2.4626,0.01941,0.005339999999999999,0.01879,0.09745000000000001,0.10851999999999999,39247925.7,2.97879,0.42882,3.5542900000000004,0.9647400000000002,0.4588235294117647,0.4588235294117647,0.0,0.023529411764705882,0.058823529411764705
20,129,83,0.9514,2660,0.0064,0.0148,0.0051,0.0036,41,40,0,0,2,0.0168,0.1225,0.1413,14280589.25,1.2362,0.2085,2.4354,0.018459999999999997,0.00554,0.018359999999999998,0.10447,0.1137,40010520.9,3.0445599999999997,0.27079,3.5521699999999994,0.9623100000000001,0.4939759036144578,0.4819277108433735,0.0,0.0,0.024096385542168676
21,127,86,0.9489,2787,0.0024,0.0144,0.0078,0.0039,43,43,0,0,0,0.0166,0.1087,0.1154,11058753.75,1.7032,0.0665,2.5652,0.01819,0.00572,0.01874,0.10617000000000001,0.11412,40698065.075,3.1324099999999997,0.15677999999999997,3.54852,0.9598800000000001,0.5,0.5,0.0,0.0,0.0
22,132,81,0.9465,2919,0.0227,0.0153,0.0025,0.004,37,37,0,0,7,0.0149,0.0914,0.1101,91470752.0,2.8217,0.0331,2.6978,0.01987,0.00549,0.01824,0.10338,0.11483000000000002,47675961.325,3.2468000000000004,0.11145000000000001,3.5206299999999997,0.95745,0.4567901234567901,0.4567901234567901,0.0,0.0,0.08641975308641975
23,125,88,0.9441,3044,0.0118,0.0155,0.0035,0.0042,44,43,0,0,1,0.0158,0.0658,0.0786,241908696.0,3.9226,0.0323,2.8877,0.01957,0.00532,0.01738,0.09453999999999999,0.11065,69875885.425,3.26061,0.10184,3.42818,0.9550199999999999,0.5,0.48863636363636365,0.0,0.0,0.011363636363636364
24,136,78,0.9416,3180,0.0186,0.0163,0.0048,0.0043,36,37,0,0,5,0.0189,0.1391,0.148,422731384.0,4.2345,0.0739,2.9316,0.02133,0.0052699999999999995,0.01787,0.09596,0.11420000000000001,109717207.325,3.14119,0.10342,3.25495,0.95258,0.46153846153846156,0.47435897435897434,0.0,0.0,0.0641025641025641
25,125,86,0.9392,3305,0.0103,0.0154,0.0032,0.0044,42,42,0,0,2,0.0132,0.0922,0.1063,709110976.0,4.1697,0.1023,3.2405,0.01791,0.0049099999999999994,0.0179,0.09543,0.11387,179488611.9,2.93637,0.11111,3.03263,0.95015,0.4883720930232558,0.4883720930232558,0.0,0.0,0.023255813953488372
26,127,86,0.9368,3432,0.0191,0.0161,0.0068,0.0047,43,43,0,0,0,0.0198,0.1135,0.1142,790509776.0,3.1478,0.0533,3.5117,0.01876,0.00476,0.01751,0.10003999999999999,0.11467000000000001,247570217.9,2.7656599999999996,0.11420999999999999,2.92047,0.94772,0.5,0.5,0.0,0.0,0.0
27,136,80,0.9343,3568,0.052,0.0185,0.0044,0.0048,41,39,0,0,0,0.0163,0.1222,0.1417,669644688.0,2.3469,0.015,3.7266,0.02268,0.00464,0.017070000000000002,0.10261,0.11921999999999999,304600507.1,2.66433,0.11162000000000001,2.93305,0.94528,0.5125,0.4875,0.0,0.0,0.0
28,125,86,0.9319,3693,0.0128,0.0182,0.0059,0.005,41,43,0,0,2,0.017,0.0837,0.0968,414829160.0,1.2411,0.0577,3.295,0.018090000000000002,0.004739999999999999,0.01704,0.10378000000000001,0.11851,341727125.3,2.60424,0.10443,2.9754099999999997,0.9428500000000002,0.47674418604651164,0.5,0.0,0.0,0.023255813953488372
29,129,84,0.9295,3822,0.0046,0.0177,0.007,0.0052,42,42,0,0,0,0.0205,0.1202,0.1435,188533804.0,0.7235,0.2676,2.9408,0.01607,0.0050999999999999995,0.016980000000000002,0.10593,0.11959,355407857.9,2.55472,0.09102,3.0232300000000003,0.9404199999999999,0.5,0.5,0.0,0.0,0.0
30,125,87,0.927,3947,0.0063,0.0173,0.005,0.0053,42,42,1,0,2,0.0178,0.1598,0.1427,166030484.0,0.5059,0.546,2.6312,0.01606,0.00509,0.01708,0.10966000000000001,0.11973,370582847.375,2.48169,0.12477,3.0428100000000002,0.9379799999999999,0.4827586206896552,0.4827586206896552,0.011494252873563218,0.0,0.022988505747126436
31,128,85,0.9246,4075,0.0227,0.0181,0.0049,0.0053,42,42,0,0,1,0.0253,0.1438,0.1551,70644684.0,0.5175,0.3354,2.4705,0.018090000000000002,0.0048000000000000004,0.01795,0.11317000000000002,0.12369999999999999,376541440.4,2.36312,0.15166,3.03334,0.9355499999999999,0.49411764705882355,0.49411764705882355,0.0,0.0,0.011764705882352941
32,127,85,0.9222,4202,0.0229,0.019,0.0069,0.0054,41,39,1,0,4,0.0143,0.1158,0.123,56576664.0,0.545,0.4054,2.3532,0.01811,0.00524,0.01789,0.11561000000000002,0.12499,373052031.6,2.13545,0.18889,2.99888,0.93312,0.4823529411764706,0.4588235294117647,0.011764705882352941,0.0,0.047058823529411764
33,134,80,0.9197,4336,0.0327,0.0199,0.0056,0.0054,37,36,1,1,5,0.0308,0.1669,0.1577,25344677.5,0.5821,0.435,2.357,0.020200000000000003,0.00545,0.01939,0.12572,0.1329,351395629.75,1.8014,0.22915999999999997,2.94581,0.9306800000000001,0.4625,0.45,0.0125,0.0125,0.0625
34,133,80,0.9173,4469,0.0069,0.0202,0.0041,0.0053,39,40,0,0,1,0.0325,0.1117,0.1469,112221426.0,0.5773,0.338,2.3779,0.01903,0.00538,0.02075,0.12298,0.13279,320344633.95,1.43568,0.25556999999999996,2.89044,0.9282499999999999,0.4875,0.5,0.0,0.0,0.0125
35,130,84,0.9149,4599,0.0026,0.0181,0.0063,0.0053,41,40,0,0,3,0.0277,0.1234,0.1409,65322475.0,0.6595,0.1114,2.4326,0.018260000000000002,0.00569,0.0222,0.1261,0.13625,255965783.85,1.08466,0.25648,2.80965,0.9258200000000001,0.4880952380952381,0.47619047619047616,0.0,0.0,0.03571428571428571
36,133,80,0.9124,4732,0.0175,0.0184,0.0048,0.0051,38,38,0,0,4,0.019,0.1466,0.1413,130131810.0,0.6619,0.1098,2.4703,0.0181,0.00549,0.02212,0.12941,0.13896,189927987.25,0.83607,0.26213,2.70551,0.9233800000000001,0.475,0.475,0.0,0.0,0.05
37,124,88,0.91,4856,0.0139,0.0185,0.0033,0.005,43,44,0,0,1,0.0183,0.127,0.1009,2123314.9688,0.597,0.2309,2.4757,0.01429,0.00538,0.02232,0.12989,0.13488,123175849.94688001,0.66108,0.28372,2.5804199999999997,0.92095,0.48863636363636365,0.5,0.0,0.0,0.011363636363636364
38,130,85,0.9076,4986,0.0139,0.0163,0.0073,0.0051,43,42,0,0,0,0.0162,0.1446,0.1449,55507367.0,0.5367,0.4689,2.4168,0.014400000000000001,0.00552,0.022240000000000003,0.13598000000000002,0.13969,87243670.64688,0.59064,0.32484,2.4926000000000004,0.91852,0.5058823529411764,0.49411764705882355,0.0,0.0,0.0
39,136,78,0.9052,5122,0.0282,0.0164,0.0064,0.0053,36,37,0,1,4,0.0171,0.1582,0.1445,31235771.0,0.5114,0.6098,2.3522,0.01676,0.0054600000000000004,0.021900000000000003,0.13978,0.13979000000000003,71513867.34687999,0.56943,0.35906000000000005,2.43374,0.91609,0.46153846153846156,0.47435897435897434,0.0,0.01282051282051282,0.05128205128205128
40,130,82,0.9027,5252,-0.0012,0.016,0.0065,0.0054,40,39,0,0,3,0.0237,0.1507,0.1349,50791445.0,0.5022,0.8748,2.2975,0.01601,0.0056099999999999995,0.02249,0.13887,0.13901,59989963.44688,0.56906,0.39194,2.4003699999999997,0.9136600000000001,0.4878048780487805,0.47560975609756095,0.0,0.0,0.036585365853658534
41,119,92,0.9003,5371,0.0062,0.0162,0.007,0.0053,45,43,2,2,0,0.0175,0.178,0.1527,12812717.25,0.4976,1.365,2.2795,0.014360000000000001,0.00582,0.02171,0.14228999999999997,0.13877,54206766.77187999,0.56707,0.4949,2.3812699999999998,0.9112300000000001,0.4891304347826087,0.4673913043478261,0.021739130434782608,0.021739130434782608,0.0
42,125,90,0.8979,5496,0.003,0.0152,0.0021,0.0053,39,26,13,10,2,0.0214,0.1453,0.1297,1834508.0,0.4931,1.8634,2.2642,0.01237,0.00534,0.022420000000000002,0.14523999999999998,0.13944,48732551.17188,0.56188,0.6407,2.37237,0.9088,0.43333333333333335,0.28888888888888886,0.14444444444444443,0.1111111111111111,0.022222222222222223
43,123,91,0.8954,5619,0.0132,0.0153,0.0014,0.0052,36,18,19,13,5,0.0124,0.1401,0.1282,17158286.0,0.4941,1.8955,2.2617,0.01042,0.00492,0.02058,0.14256,0.13649,47913912.02188,0.5530799999999999,0.78675,2.36284,0.9063700000000001,0.3956043956043956,0.1978021978021978,0.2087912087912088,0.14285714285714285,0.054945054945054944
44,121,96,0.893,5740,0.0088,0.0148,0.0026,0.0051,37,23,14,18,4,0.0115,0.123,0.1141,16810165.5,0.5034,1.8558,2.2696,0.01061,0.00477,0.018480000000000003,0.14369,0.13321,38372785.971880004,0.54569,0.9385300000000001,2.35201,0.9039400000000001,0.3854166666666667,0.23958333333333334,0.14583333333333334,0.1875,0.041666666666666664
45,127,88,0.8906,5867,0.0004,0.0143,0.0051,0.0052,39,28,10,9,2,0.0219,0.1452,0.155,12477602.5,0.5542,1.6347,2.2473,0.01039,0.00465,0.0179,0.14587,0.13462000000000002,33088298.72188,0.53516,1.09086,2.3334799999999998,0.90151,0.4431818181818182,0.3181818181818182,0.11363636363636363,0.10227272727272728,0.022727272727272728
46,135,79,0.8881,6002,0.0497,0.0159,0.0067,0.0052,35,31,4,4,5,0.0128,0.1089,0.1121,2356132.3125,0.5473,1.3731,2.2449,0.01361,0.00484,0.017279999999999997,0.1421,0.13169999999999998,20310730.95313,0.5237,1.21719,2.31094,0.89908,0.4430379746835443,0.3924050632911392,0.05063291139240506,0.05063291139240506,0.06329113924050633
47,122,91,0.8857,6124,0.0107,0.0138,0.0069,0.0053,39,34,6,7,5,0.0242,0.1123,0.1452,12765858.75,0.5486,1.3651,2.2644,0.01329,0.005200000000000001,0.01787,0.14063,0.13613,21374985.33125,0.51886,1.33061,2.28981,0.89665,0.42857142857142855,0.37362637362637363,0.06593406593406594,0.07692307692307693,0.054945054945054944
48,127,87,0.8833,6251,0.0222,0.0143,0.0051,0.0053,40,37,2,5,3,0.0105,0.1562,0.1351,16192033.0,0.578,1.1714,2.2865,0.014119999999999999,0.00498,0.0173,0.14179,0.13515,17443451.93125,0.52299,1.4008600000000002,2.27678,0.89422,0.45977011494252873,0.42528735632183906,0.022988505747126436,0.05747126436781609,0.034482758620689655
49,125,88,0.8808,6376,0.0239,0.0152,0.0046,0.0051,36,33,4,9,6,0.0158,0.1277,0.1399,22942041.0,0.6273,1.1469,2.2861,0.013689999999999999,0.0048000000000000004,0.017169999999999998,0.13874,0.13469,16614078.93125,0.53458,1.45457,2.27017,0.89178,0.4090909090909091,0.375,0.045454545454545456,0.10227272727272728,0.06818181818181818
