agent,games,win_rate,natural_win_rate,adjudicated_win_rate,leader_rate,second_place_rate,third_place_rate,fourth_place_rate,avg_vp,avg_adjudication_score,avg_settlements,avg_cities,avg_roads,avg_played_knights,avg_dev_cards_held,avg_hidden_vp_cards,largest_army_rate,longest_road_rate,avg_longest_road_length,avg_trade_decisions,avg_trade_penalty,action_count,bank_trade_share,propose_trade_share,accept_trade_share,counter_trade_share,skip_trade_share,reject_trade_share,player_trade_accept_rate,build_action_share,bank_trade_share_of_trade_actions
random_no_trade,1000,0.081,0.0,0.081,0.081,0.035,0.008,0.876,2.159,2.055,1.916,0.088,2.839,0.101,0.025,0.047,0.002,0.008,1.02,13.418,0.0,44913,0.0,0.0,0.0,0.0,0.1781,0.1206,0.0,0.117,0.0
unified,1000,0.393,0.0,0.393,0.3925,0.2835,0.2905,0.0335,2.394,2.513,1.91,0.143,2.93,0.397,0.095,0.158,0.016,0.004,1.141,18.587,0.046,52402,0.0329,0.1133,0.0402,0.1204,0.04,0.0408,0.4963,0.1223,0.0848
tom_dqn,1000,0.242,0.0,0.242,0.242,0.3625,0.343,0.0525,2.162,2.284,1.992,0.008,3.31,0.012,0.011,0.006,0.0,0.074,2.082,17.936,0.047,50541,0.0186,0.0862,0.0395,0.1508,0.0732,0.0051,0.8846,0.1062,0.0497
ppo,1000,0.284,0.0,0.284,0.2845,0.319,0.3585,0.038,2.192,2.308,1.96,0.05,3.221,0.237,0.066,0.106,0.002,0.011,1.296,18.488,0.046,52144,0.0354,0.1189,0.0398,0.1158,0.0358,0.0443,0.4732,0.1162,0.0908
