game,winner,controlled_win,controlled_vp,winner_vp,turns,steps,avg_reward,largest_army,played_knights,dev_cards_bought,held_dev_cards,hidden_vp_cards,longest_road_award,longest_road_length,settlements,cities,roads,build_efficiency,brick_wood_balance,truncated
359,WHITE,1,10,10,79,1250,0.0033056,1,6,7,0,0,0,5,4,2,15,0.1797752808988764,0.6666666666666666,0
360,WHITE,1,10,10,76,1257,0.002315035799522673,0,2,3,0,1,1,7,5,1,15,0.171875,1.0,0
361,WHITE,1,10,10,50,837,0.004794504181600955,1,5,9,0,1,1,7,1,2,15,0.1044776119402985,1.0,0
362,RED,0,2,10,68,1141,-0.00035056967572304995,0,0,0,0,0,0,1,2,0,2,0.03636363636363636,1.0,0
363,ORANGE,0,4,10,100,1702,0.00019623971797884843,0,1,2,0,1,0,2,1,1,7,0.05555555555555555,1.0,0
364,NONE,0,3,8,127,2000,0.000639,0,2,4,0,1,0,5,2,0,8,0.06896551724137931,0.0,1
365,BLUE,0,4,10,78,1246,-0.00018619582664526486,0,2,3,0,0,1,7,2,0,8,0.06557377049180328,1.0,0
366,WHITE,1,10,10,73,1103,0.004813236627379873,1,9,17,0,4,0,5,0,2,10,0.1,1.0,0
367,ORANGE,0,4,10,93,1415,0.0003992932862190813,0,1,2,0,0,0,7,0,2,14,0.1,0.0,0
368,NONE,0,3,9,130,2000,0.000372,0,0,1,0,1,0,3,2,0,6,0.08,0.0,1
369,RED,0,2,10,48,790,-0.0005759493670886076,0,1,1,0,0,0,4,2,0,8,0.06521739130434782,0.0,0
370,WHITE,1,10,10,105,1644,0.00270985401459854,0,3,6,0,1,0,7,3,3,15,0.13,0.5,0
371,ORANGE,0,5,11,62,994,0.0004537223340040242,0,2,3,0,1,0,7,2,1,15,0.10126582278481013,0.5,0
372,RED,0,4,10,64,1082,0.0005517560073937153,0,2,3,0,0,0,4,0,2,5,0.08333333333333333,1.0,0
373,WHITE,1,10,10,78,1220,0.003021311475409836,0,1,3,0,0,1,8,2,3,15,0.14457831325301204,0.0,0
374,RED,0,5,10,46,735,-1.7687074829931936e-05,0,1,1,0,0,1,9,1,1,15,0.09210526315789473,1.0,0
375,WHITE,1,10,10,68,1104,0.0038740942028985506,1,3,8,0,2,0,2,0,3,5,0.17307692307692307,0.0,0
376,WHITE,1,10,10,57,883,0.003315968289920725,1,3,5,0,1,1,6,5,0,15,0.2,1.0,0
377,BLUE,0,4,10,66,1017,0.00029891838741396263,1,4,4,0,0,0,3,2,0,6,0.1111111111111111,0.0,0
378,BLUE,0,3,10,48,778,0.00042544987146529565,0,2,3,0,1,0,5,2,0,6,0.11538461538461539,0.0,0
379,WHITE,1,10,10,58,907,0.0034906284454244763,0,2,4,0,1,1,9,5,1,15,0.1864406779661017,0.0,0
380,WHITE,1,10,10,56,882,0.0034081632653061226,1,3,5,0,1,1,8,5,0,15,0.15789473684210525,0.5,0
381,WHITE,1,10,10,71,1116,0.004576164874551971,1,9,14,0,2,0,2,2,2,6,0.14492753623188406,0.0,0
382,WHITE,1,10,10,65,947,0.003663146779303062,1,5,6,0,0,1,8,4,1,14,0.22916666666666666,0.0,0
383,WHITE,1,10,10,60,964,0.0036950207468879667,0,3,4,0,1,1,12,3,2,15,0.2,0.6666666666666666,0
384,ORANGE,0,2,10,48,730,-4.246575342465755e-05,0,1,2,0,0,0,3,2,0,7,0.1111111111111111,0.0,0
385,RED,0,2,10,37,628,-0.0006735668789808918,0,0,0,0,0,0,3,2,0,6,0.08333333333333333,0.0,0
386,RED,0,4,10,74,1200,0.0006575,0,2,5,0,1,0,4,1,1,5,0.10294117647058823,0.0,0
387,RED,0,3,10,80,1299,-8.160123171670516e-05,0,0,2,0,1,0,3,2,0,6,0.06060606060606061,1.0,0
388,WHITE,1,10,10,49,774,0.0044379844961240315,1,6,9,0,2,1,10,4,0,15,0.14545454545454545,1.0,0
389,RED,0,6,10,38,623,0.00030818619582664527,0,2,3,0,0,1,5,4,0,15,0.13793103448275862,0.0,0
390,BLUE,0,5,10,48,779,0.000779204107830552,0,3,5,0,2,0,3,3,0,8,0.14,1.0,0
391,BLUE,0,7,10,48,766,0.001447780678851175,1,3,7,0,2,0,3,3,0,8,0.10909090909090909,0.0,0
392,BLUE,0,3,10,66,1133,0.0001977052074139453,0,2,3,0,1,0,2,2,0,7,0.05454545454545454,0.0,0
393,BLUE,0,2,10,47,728,-0.0006456043956043956,0,0,1,0,0,0,5,2,0,15,0.10344827586206896,1.0,0
394,ORANGE,0,4,10,51,821,0.0009573690621193667,0,2,5,0,0,0,5,0,2,10,0.07692307692307693,1.0,0
395,RED,0,2,10,59,1030,-1.2621359223300979e-05,0,2,3,0,0,0,5,2,0,11,0.05747126436781609,0.0,0
396,RED,0,3,10,70,1072,0.0005690298507462687,0,2,6,0,1,0,2,2,0,9,0.09230769230769231,0.0,0
397,RED,0,9,10,66,1155,0.0006666666666666666,1,6,6,0,0,1,8,5,0,15,0.07964601769911504,0.0,0
398,RED,0,5,10,72,1126,0.0004378330373001776,0,2,3,0,0,0,6,5,0,15,0.11842105263157894,1.0,0
399,RED,0,5,10,43,710,0.0006112676056338028,1,3,4,0,1,0,2,2,0,6,0.09836065573770492,1.0,0
400,WHITE,1,10,10,53,866,0.004814087759815243,0,3,4,0,1,0,6,1,4,15,0.15476190476190477,1.0,0
401,WHITE,1,10,10,65,997,0.004348044132397192,1,4,11,0,3,0,6,3,1,15,0.12857142857142856,1.0,0
402,NONE,0,9,9,126,2000,0.0019665,0,5,10,0,4,0,2,1,2,7,0.10869565217391304,0.0,1
403,BLUE,0,4,10,41,679,-0.000711340206185567,0,0,0,0,0,1,5,2,0,15,0.08955223880597014,0.0,0
404,RED,0,3,10,38,628,-0.0006098726114649681,0,0,1,0,1,0,5,2,0,15,0.08955223880597014,0.25,0
405,ORANGE,0,7,10,66,1046,0.0015630975143403442,0,2,6,0,3,0,1,0,2,3,0.13725490196078433,0.5,0
406,BLUE,0,3,10,49,784,-1.9132653061224485e-05,0,0,1,0,1,0,1,2,0,3,0.052083333333333336,1.0,0
407,BLUE,0,5,10,74,1234,-0.00017260940032414913,0,0,1,0,0,1,7,3,0,15,0.07291666666666667,0.5,0
408,RED,0,4,10,101,1538,0.0004479843953185956,0,4,6,0,1,0,5,3,0,8,0.09722222222222222,1.0,0
409,BLUE,0,4,10,124,1839,0.00027188689505165854,0,2,4,1,1,0,4,1,1,11,0.1111111111111111,0.0,0
410,BLUE,0,6,10,67,1077,0.00029526462395543175,0,1,5,2,1,0,5,5,0,15,0.11842105263157894,1.0,0
411,BLUE,0,4,10,81,1253,0.0007262569832402235,0,4,7,0,1,0,9,3,0,15,0.08433734939759036,0.3333333333333333,0
412,BLUE,0,4,10,74,1178,0.0006129032258064516,0,2,5,0,2,0,2,2,0,4,0.08695652173913043,1.0,0
413,RED,0,2,10,66,1010,-6.732673267326734e-05,0,1,2,0,0,0,4,2,0,6,0.13953488372093023,1.0,0
414,WHITE,1,10,10,117,1906,0.002368310598111228,1,7,12,0,1,0,6,3,2,15,0.11224489795918367,0.6666666666666666,0
415,BLUE,0,2,10,39,647,-0.0004080370942812983,0,1,1,0,0,0,2,2,0,7,0.12244897959183673,0.0,0
416,NONE,0,7,7,132,2000,0.0005475,0,2,2,0,0,1,10,5,0,15,0.1125,0.5,1
417,RED,0,3,10,34,543,-0.00014548802946593,0,0,0,0,0,0,4,1,1,9,0.14285714285714285,1.0,0
418,WHITE,1,10,10,51,771,0.00514526588845655,1,4,9,0,3,0,4,3,1,15,0.140625,0.5,0
419,WHITE,1,10,10,60,903,0.0040110741971207085,1,4,5,0,1,0,5,5,1,15,0.1896551724137931,0.0,0
420,ORANGE,0,6,10,80,1323,0.0011609977324263038,0,5,7,0,1,0,4,1,2,12,0.07608695652173914,0.0,0
421,RED,0,2,10,56,907,9.592061742006614e-05,0,2,4,0,0,0,2,2,0,7,0.06756756756756757,0.0,0
422,RED,0,3,10,73,1196,5.351170568561874e-05,0,1,3,0,1,0,3,2,0,9,0.06976744186046512,0.0,0
423,RED,0,3,10,61,997,3.209628886659983e-05,0,2,3,0,1,0,4,2,0,11,0.10344827586206896,1.0,0
424,RED,0,3,10,89,1423,-6.886858749121574e-05,0,1,2,0,1,0,1,2,0,4,0.0759493670886076,0.0,0
425,WHITE,1,10,10,52,855,0.003649122807017544,1,4,7,0,2,1,7,4,0,12,0.12903225806451613,0.0,0
426,NONE,0,3,7,135,2000,0.000962,0,4,8,0,1,0,4,2,0,9,0.07692307692307693,1.0,1
427,ORANGE,0,5,10,79,1250,0.00012959999999999998,0,2,2,0,0,0,5,5,0,15,0.10227272727272728,0.0,0
428,ORANGE,0,4,10,47,731,-0.0002954856361149111,0,0,2,0,0,1,8,2,0,15,0.075,0.5,0
429,ORANGE,0,4,10,67,1074,0.0010027932960893855,0,4,9,0,2,0,3,2,0,6,0.08333333333333333,0.0,0
430,ORANGE,0,3,11,56,889,-8.77390326209224e-05,0,1,2,0,0,0,4,3,0,13,0.08823529411764706,0.0,0
431,WHITE,1,10,10,115,1767,0.0021782682512733447,1,3,8,0,3,0,3,1,2,5,0.10810810810810811,0.0,0
432,ORANGE,0,8,10,115,1872,0.001111645299145299,0,2,4,0,0,0,3,0,4,9,0.11711711711711711,0.0,0
433,WHITE,1,10,10,49,783,0.004455938697318008,0,3,7,0,3,1,5,5,0,15,0.16666666666666666,1.0,0
434,WHITE,1,10,10,86,1374,0.002714701601164483,0,3,6,0,1,1,11,5,1,15,0.12087912087912088,0.0,0
435,WHITE,1,10,10,78,1184,0.00403293918918919,1,6,15,0,4,0,4,4,0,10,0.16326530612244897,0.0,0
436,RED,0,4,10,83,1310,0.0003870229007633588,0,2,5,0,2,0,3,2,0,7,0.07792207792207792,0.0,0
437,WHITE,1,10,10,47,775,0.004011612903225806,0,0,3,0,1,1,7,5,1,15,0.1527777777777778,0.0,0
438,ORANGE,0,2,10,77,1156,-8.131487889273356e-05,0,3,4,0,0,0,2,2,0,8,0.10526315789473684,0.0,0
439,ORANGE,0,6,10,84,1413,0.000786270346779901,0,2,4,0,1,0,6,1,2,11,0.08571428571428572,0.0,0
440,WHITE,1,10,10,84,1307,0.0031331293037490434,1,6,11,0,3,0,6,5,0,15,0.1323529411764706,0.0,0
441,RED,0,4,10,100,1532,0.0009327676240208877,0,5,8,0,1,0,6,1,1,13,0.07954545454545454,0.0,0
442,ORANGE,0,2,10,83,1299,-0.0003140877598152425,0,0,1,0,0,0,5,2,0,7,0.08333333333333333,0.0,0
443,WHITE,1,10,10,71,1155,0.003703896103896104,1,6,11,0,3,0,5,1,2,11,0.12857142857142856,0.0,0
444,ORANGE,0,4,10,47,757,0.000797886393659181,0,2,4,0,2,0,1,2,0,4,0.1,0.0,0
445,ORANGE,0,7,10,77,1253,0.000790901835594573,0,2,5,0,3,0,5,4,0,12,0.08888888888888889,0.5,0
446,ORANGE,0,3,10,66,1080,-7.222222222222222e-05,0,0,1,0,0,0,3,1,1,7,0.09090909090909091,0.0,0
447,RED,0,7,10,60,936,-0.00019551282051282054,0,1,1,0,0,1,8,5,0,15,0.11392405063291139,0.0,0
448,BLUE,0,6,10,116,1917,0.0006671883150756391,0,5,8,0,1,0,9,5,0,15,0.08571428571428572,0.6666666666666666,0
449,BLUE,0,2,10,72,1125,0.00013955555555555555,0,2,4,1,0,0,3,2,0,8,0.0821917808219178,0.0,0
450,RED,0,2,10,48,732,-0.00018579234972677597,0,2,2,0,0,0,2,2,0,4,0.10526315789473684,0.0,0
451,WHITE,1,10,10,106,1624,0.0028873152709359604,1,6,14,0,3,0,7,3,1,14,0.11827956989247312,0.0,0
452,BLUE,0,8,10,76,1291,0.0009349341595662277,0,4,5,0,0,1,9,4,1,15,0.08264462809917356,0.25,0
453,BLUE,0,8,10,80,1334,0.0006544227886056971,0,3,7,0,1,1,8,5,0,15,0.09473684210526316,0.0,0
454,WHITE,1,10,10,87,1432,0.002553072625698324,0,3,8,0,1,1,8,5,1,15,0.12222222222222222,0.5,0
455,BLUE,0,4,10,75,1204,0.0006054817275747508,0,4,7,0,1,0,7,3,0,12,0.10126582278481013,0.0,0
456,BLUE,0,7,10,67,1033,0.00011810261374636978,0,2,2,0,0,1,8,5,0,15,0.1111111111111111,0.5,0
457,WHITE,1,10,10,92,1478,0.002348443843031123,1,5,9,0,2,1,9,2,1,12,0.0898876404494382,1.0,0
458,WHITE,1,10,10,64,1057,0.003981078524124881,1,5,8,0,3,0,3,1,2,11,0.11392405063291139,1.0,0
459,ORANGE,0,4,10,87,1382,0.0006266280752532562,0,4,9,0,2,0,5,2,0,13,0.08108108108108109,0.0,0
460,WHITE,1,10,10,115,1864,0.002116952789699571,0,2,5,0,2,0,6,4,2,15,0.12244897959183673,1.0,0
461,RED,0,4,10,55,856,0.00041121495327102806,0,1,1,0,0,0,1,0,2,2,0.09230769230769231,0.5,0
462,WHITE,1,10,10,30,468,0.006061965811965812,1,3,3,0,0,1,6,4,1,15,0.22727272727272727,0.25,0
463,WHITE,1,10,10,48,760,0.004594736842105263,0,1,3,0,1,1,6,1,3,15,0.16923076923076924,1.0,0
464,ORANGE,0,6,10,58,965,0.0009150259067357513,0,2,6,0,1,0,5,5,0,15,0.1111111111111111,0.0,0
465,ORANGE,0,6,10,81,1319,0.0002645943896891585,1,5,6,0,0,1,8,2,0,15,0.061224489795918366,0.0,0
466,RED,0,7,11,127,1898,0.0003724973656480506,0,3,4,0,0,1,6,1,2,15,0.14285714285714285,0.0,0
467,ORANGE,0,3,10,80,1260,-0.00019523809523809525,0,1,2,0,1,0,3,2,0,8,0.1016949152542373,0.0,0
468,BLUE,0,3,10,34,554,-0.0005397111913357401,0,0,0,0,0,0,8,3,0,15,0.09090909090909091,0.0,0
469,BLUE,0,7,10,77,1268,0.000584384858044164,1,6,7,0,0,0,5,5,0,15,0.09900990099009901,0.0,0
470,ORANGE,0,5,10,64,993,0.0016173212487411884,1,6,10,0,0,0,3,1,1,8,0.1111111111111111,1.0,0
471,ORANGE,0,6,10,66,1019,0.0010814524043179588,0,2,4,0,1,0,7,1,2,10,0.11428571428571428,0.0,0
472,RED,0,2,10,49,798,-0.00029448621553884713,0,0,0,0,0,0,1,2,0,3,0.060240963855421686,1.0,0
473,RED,0,7,10,52,800,0.0014587500000000002,0,1,4,0,3,0,3,2,1,9,0.2,1.0,0
474,WHITE,1,10,10,58,889,0.005448818897637795,1,6,9,0,1,0,4,1,3,12,0.1780821917808219,0.0,0
475,WHITE,1,10,10,106,1669,0.0025158777711204315,0,4,11,0,5,0,6,5,0,15,0.10588235294117647,0.0,0
476,RED,0,7,10,64,989,0.0010788675429726999,1,3,5,0,2,0,2,1,1,5,0.1320754716981132,0.0,0
477,ORANGE,0,7,10,93,1472,0.00031453804347826087,0,1,3,0,2,0,9,5,0,15,0.1,0.0,0
478,NONE,0,9,9,123,2000,0.001433,0,3,6,0,3,0,4,0,3,8,0.11320754716981132,0.0,1
479,WHITE,1,10,10,76,1230,0.0028495934959349594,0,1,3,0,0,0,6,4,3,15,0.14285714285714285,0.0,0
480,ORANGE,0,8,10,113,1932,0.0006708074534161491,0,6,6,0,0,1,9,4,1,15,0.09523809523809523,0.0,0
481,NONE,0,4,9,130,2000,0.0005825,0,3,4,0,0,1,5,2,0,7,0.12,1.0,1
482,ORANGE,0,5,10,81,1241,0.00043674456083803387,0,0,5,0,2,0,3,3,0,9,0.0847457627118644,1.0,0
483,WHITE,1,10,10,111,1798,0.0022296996662958843,0,3,9,0,3,0,7,5,1,15,0.10679611650485436,0.0,0
484,NONE,0,7,8,123,2000,0.001371,1,6,12,0,1,0,8,4,0,15,0.06741573033707865,1.0,1
485,ORANGE,0,2,10,115,1682,-2.0214030915576705e-05,0,2,3,0,0,0,8,2,0,11,0.08,0.0,0
486,ORANGE,0,3,10,83,1283,0.00032190179267342167,0,2,2,0,0,0,3,1,1,6,0.10606060606060606,1.0,0
487,RED,0,6,10,63,1057,-7.568590350047304e-05,0,1,3,0,1,1,9,3,0,12,0.06930693069306931,0.0,0
488,ORANGE,0,2,10,69,1081,1.850138760407017e-06,0,2,2,0,0,0,3,2,0,5,0.10344827586206896,1.0,0
489,ORANGE,0,4,10,88,1416,0.0003573446327683616,1,5,6,0,0,0,5,2,0,6,0.06521739130434782,1.0,0
490,ORANGE,0,5,10,71,1116,0.000863799283154122,0,4,6,0,2,0,3,3,0,8,0.08235294117647059,0.0,0
491,BLUE,0,7,10,110,1701,0.0006313932980599647,0,4,5,0,0,0,5,5,1,15,0.13580246913580246,1.0,0
492,BLUE,0,7,10,62,975,0.0016861538461538463,1,5,8,0,1,0,4,0,2,8,0.11764705882352941,0.5,0
493,ORANGE,0,3,10,107,1738,4.142692750287686e-05,0,3,3,0,0,0,5,3,0,11,0.07777777777777778,1.0,0
494,RED,0,8,10,106,1752,0.0005656392694063928,1,5,8,0,3,0,6,3,0,12,0.06666666666666667,0.0,0
495,NONE,0,9,9,128,2000,0.0016155,1,7,10,0,1,0,2,0,3,4,0.12307692307692308,0.0,1
496,BLUE,0,8,10,81,1401,0.0015596002855103497,1,9,12,0,1,0,4,1,2,10,0.07964601769911504,1.0,0
497,ORANGE,0,4,10,73,1124,0.000661032028469751,0,2,5,0,1,0,3,1,1,6,0.1044776119402985,1.0,0
498,WHITE,1,10,10,78,1261,0.0030539254559873116,1,4,8,0,1,0,7,5,1,15,0.1134020618556701,0.0,0
499,ORANGE,0,3,10,56,840,8.333333333333336e-05,0,2,3,0,1,0,1,2,0,4,0.08571428571428572,0.0,0
500,NONE,0,4,8,131,2000,0.000673,0,3,6,0,1,0,7,3,0,10,0.07368421052631578,0.0,1
501,ORANGE,0,2,10,40,633,-0.00028436018957345974,0,1,1,0,0,0,4,2,0,7,0.09836065573770492,0.3333333333333333,0
502,WHITE,1,10,10,123,1874,0.0019711846318036285,0,4,7,0,2,1,9,4,1,15,0.10869565217391304,0.0,0
503,WHITE,1,10,10,113,1737,0.00165342544617156,0,0,1,0,1,1,11,5,1,15,0.1134020618556701,1.0,0
504,BLUE,0,6,10,64,1022,0.0012201565557729943,1,5,9,0,2,0,1,2,0,3,0.05555555555555555,0.0,0
505,WHITE,1,10,10,81,1253,0.0038754988028731046,1,7,13,0,2,0,4,2,2,7,0.09090909090909091,0.0,0
506,WHITE,1,10,10,79,1232,0.0033855519480519482,1,8,11,0,0,1,7,2,2,14,0.13924050632911392,0.0,0
507,RED,0,3,10,43,734,0.00031198910081743875,0,2,4,0,1,0,4,2,0,6,0.07792207792207792,0.0,0
508,WHITE,1,10,10,67,1017,0.0037935103244837757,0,0,5,0,4,0,4,0,3,10,0.16129032258064516,1.0,0
509,ORANGE,0,2,10,69,1067,0.0003458294283036551,0,3,6,1,0,0,4,2,0,7,0.08108108108108109,0.0,0
510,NONE,0,5,9,124,2000,0.000301,0,2,2,0,0,1,9,3,0,15,0.07,0.5,1
511,RED,0,8,10,104,1650,0.00042969696969696967,0,3,6,0,1,1,10,5,0,15,0.09523809523809523,0.0,0
512,RED,0,6,10,100,1615,0.0006798761609907121,1,5,7,0,1,0,2,1,1,7,0.08139534883720931,0.0,0
513,ORANGE,0,8,10,106,1657,0.0012226916113458057,1,6,12,0,4,0,3,2,0,8,0.05319148936170213,0.0,0
514,ORANGE,0,2,10,52,850,-0.0001447058823529412,0,1,2,0,0,0,3,2,0,7,0.08955223880597014,0.5,0
